Model_FU.,A1,A2,A3,A4,A5,No,,,,,,,,,,,,CTE [300K],CTE [1100K],CTE [1250K],Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B]
Co4Cr4Cu4Fe4Ni4,Co,Cr,Cu,Fe,Ni,5,1.856,0.112534439,153.6,0.046693805,13.38151058,308.45,308.45,339.698,42.09155307,42.09155307,45.48549017,14.0959,15.6006,15.6299,4.363143,4.420657,12.078082,229.399729,8.368,-133.577988,0.12,-4.469,21.03,449.7,153.05,78.19,200.03,9.389,1617.72,1.1547,0.282,0.511
Co4Cr4Fe4Ni4Zn4,Co,Cr,Fe,Ni,Zn,5,1.786,0.11001818,153,0.051959757,13.38151058,289.45,289.45,366.336,34.64359739,34.64359739,77.89898962,13.4984,14.8583,14.8847,5.639548,5.643078,7.129565,226.89127,8.515,-124.142605,0.066,-4.043,20.45,437.2,157.88,73.63,190.57,8.102,1360.88,1.1255,0.298,0.466
Co4Cr4Fe4Ni4Y4,Co,Cr,Fe,Ni,Y,5,1.7,0.25510782,167,0.139045991,13.38151058,309.1,309.1,382.012,42.92249806,42.92249806,105.2380234,14.8079,15.231,15.2388,5.364156,5.54934,9.95245,282.278188,7.397,-145.257305,0.077,-4.677,10.98,234.9,128.53,20.87,57.64,0.998,1206.6,0.5741,0.423,0.162
Co4Cr4Fe4Ni4Zr4,Co,Cr,Fe,Ni,Zr,5,1.722,0.214233517,165.8,0.12607713,13.38151058,300.792,300.792,370.34,34.55311934,34.55311934,84.61772509,14.1402,15.0384,15.0555,6.07774,5.98982,7.2781,264.93038,7.94,-154.054067,0.055,-5.087,16.31,348.7,137.93,48.33,129.71,4.343,1178.94,0.8672,0.343,0.35
Co4Cr4Fe4Ni4Nb4,Co,Cr,Fe,Ni,Nb,5,1.776,0.123385575,164.2,0.108698229,13.38151058,302.16,302.16,333.408,35.5346597,35.5346597,44.19324446,12.014,13.0274,13.0469,5.829707,5.850498,7.282471,248.374999,8.514,-160.538433,0.069,-5.225,18.75,400.8,170.75,65.99,175.26,6.052,1461.42,1.0162,0.329,0.386
Co4Cr4Fe4Ni4Mo4,Co,Cr,Fe,Ni,Mo,5,1.888,0.161170717,162.6,0.091352741,13.38151058,299.092,299.092,330.34,33.60492309,33.60492309,44.84818168,10.5085,11.3845,11.4014,5.809123,5.68313,7.244175,239.127457,8.928,-162.041571,0.139,-5.011,18.64,398.5,204.42,66.42,179.11,5,1579.16,1.029,0.353,0.325
Co4Cr4Fe4Ni4Tc4,Co,Cr,Fe,Ni,Tc,5,1.836,0.092217135,161.2,0.076421159,13.38151058,290.852,290.852,355.16,33.81806346,33.81806346,60.82038638,9.516,10.6873,10.7104,5.739613,5.657322,7.16627,232.684918,9.26,-160.681543,0.089,-5.2,22.54,482,220.57,99.89,260.07,9.737,1810.9,1.2398,0.303,0.453
Co4Cr4Fe4Ni4Ru4,Co,Cr,Fe,Ni,Ru,5,1.896,0.174882818,160.2,0.066108376,13.38151058,290.27,290.27,353.03,34.13523165,34.13523165,57.97379235,10.048,11.1236,11.1446,5.712792,5.638743,7.214123,232.374624,9.334,-156.289006,0.086,-5.232,21.06,450.4,212.59,87.48,230.78,7.936,1997.74,1.1643,0.319,0.411
Co4Cr4Fe4Ni4Nb4,Co,Cr,Fe,Ni,Nb,5,1.776,0.123385575,164.2,0.108698229,13.38151058,302.16,302.16,333.408,35.5346597,35.5346597,44.19324446,13.3537,14.816,14.8446,5.710156,5.733306,7.253872,237.473289,9.185,-149.096591,0.069,-5.225,21.3,455.4,155.61,90.59,227.36,6.052,1461.42,1.0162,0.329,0.386
Co4Cr4Fe4Ni4Pd4,Co,Cr,Fe,Ni,Pd,5,1.896,0.174882818,158.4,0.049323295,13.38151058,313.966,313.966,345.214,49.78494897,49.78494897,49.30562021,13.4986,14.7141,14.7376,9.357293,8.976943,9.335601,246.729967,8.935,-140.103893,0.091,-4.55,19.36,413.9,150.84,74.05,190.66,8.633,1596.81,1.0393,0.289,0.491
